business_unit	source_metric	target_type	target_name	target_ref	note
Спб	Расчетная выручка периода (по реализации)	calculated_formula	Сумма ключевых источников выручки СПб	Реализация шоу + Реализация СД + Спецпроекты_корпоративы + Выручка_сертификаты с понижающем кэфом	
Спб	Переменные расходы	calculated_formula	Сумма переменных расходов СПб	Сумма строк блока переменных расходов СПб	
Спб	ЗП актеров по начислению	pnl_article	Актёры ФОТ	expense/Расходы/ФОТ/Актёры ФОТ	
Спб	% ФОТ в выручке ШОУ	calculated_formula	ЗП актеров по начислению / Реализация шоу	Актёры ФОТ / Продажа билетов СПБ	
Спб	Зарплаты на 1 шоу	calculated_formula	ЗП актеров по начислению / Проведено шоу	Актёры ФОТ / Проведено шоу всего (без СД)	
Спб	ЗП СД			
Спб	% ФОТ в выручке CД	calculated_formula	ЗП СД / Реализация СД	ЗП СД / Реализация СД	
Спб	Зарплаты на 1 шоу	calculated_formula	ЗП СД / Проведено шоу СД	ЗП СД / Проведено шоу СД	Блок: СД
Спб	Митя_Бонус СД			
Спб	Комиссии платежных систем	pnl_article	Комиссия	expense/Расходы/Агентские/Комиссия	
Спб	Комиссии платежных систем (агрегаторы)	weekly_metric	Из них агрегаторы (вычет комиссии)	b2c_spb.postupleniya_na_schet.iz_nih_agregatory_vychet_komissii	
Спб	Комиссии платежных систем (агрегаторы_ДТЗК)	weekly_metric	Из них агрегаторы (вычет комиссии)ДТЗК	b2c_spb.postupleniya_na_schet.iz_nih_agregatory_vychet_komissii_dtzk	
Спб	Налог6%			
Спб	Налог страховые взносы	pnl_article	Страховые взносы	expense/Расходы/Разные налоги и взносы/Страховые взносы	
Спб	Возвраты	pnl_article	Возвраты	expense/Расходы/Возвраты	
Спб	Логистика (командировки Москвы в Питер)	pnl_article	Командировочные	expense/Расходы/Командные/Командировочные	
Спб	Прочие расходы	pnl_article	Прочие расходы	expense/Расходы/Прочие расходы	
Спб	Общие расходы спецпроекты_корпоративы	pnl_article	Расходы на B2B (продакшн)	expense/Расходы/Расходы на B2B (продакшн)	
Спб	Итого переменные расходы	calculated_formula	Сумма переменных расходов СПб	Сумма строк блока переменных расходов СПб	
