status,period_start,source_row_number,source_business_unit,source_label,canonical_metric,business_unit,show,channel,agent,cell_a1,value_raw,value_numeric,reason
inserted,2024-07-01,,b2c_spb,,Marketing costs,b2c_spb,,direct,,,89109,89109,
inserted,2024-08-01,,b2c_spb,,Marketing costs,b2c_spb,,direct,,,93586,93586,
inserted,2024-09-01,,b2c_spb,,Marketing costs,b2c_spb,,direct,,,72396,72396,
inserted,2024-10-01,,b2c_spb,,Marketing costs,b2c_spb,,direct,,,82023,82023,
inserted,2024-11-01,,b2c_spb,,Marketing costs,b2c_spb,,direct,,,81229,81229,
inserted,2024-12-01,,b2c_spb,,Marketing costs,b2c_spb,,direct,,,67867,67867,
inserted,2025-01-01,,b2c_spb,,Marketing costs,b2c_spb,,direct,,,58410,58410,
inserted,2025-02-01,,b2c_spb,,Marketing costs,b2c_spb,,direct,,,63478,63478,
inserted,2025-03-01,,b2c_spb,,Marketing costs,b2c_spb,,direct,,,85075,85075,
inserted,2024-06-01,,b2c_spb,,Marketing costs,b2c_spb,,other,,,1660,1660,
inserted,2024-07-01,,b2c_spb,,Marketing costs,b2c_spb,,other,,,39800,39800,
inserted,2024-08-01,,b2c_spb,,Marketing costs,b2c_spb,,other,,,15000,15000,
inserted,2024-10-01,,b2c_spb,,Marketing costs,b2c_spb,,other,,,87616,87616,
inserted,2024-11-01,,b2c_spb,,Marketing costs,b2c_spb,,other,,,88000,88000,
inserted,2025-01-01,,b2c_spb,,Marketing costs,b2c_spb,,other,,,85487,85487,
inserted,2025-02-01,,b2c_spb,,Marketing costs,b2c_spb,,other,,,85571,85571,
inserted,2025-03-01,,b2c_spb,,Marketing costs,b2c_spb,,other,,,88721,88721,
inserted,2024-05-01,,b2c_spb,,Marketing costs,b2c_spb,,pr,,,36000,36000,
inserted,2024-06-01,,b2c_spb,,Marketing costs,b2c_spb,,pr,,,36000,36000,
inserted,2024-07-01,,b2c_spb,,Marketing costs,b2c_spb,,pr,,,61000,61000,
inserted,2024-08-01,,b2c_spb,,Marketing costs,b2c_spb,,pr,,,38500,38500,
inserted,2024-09-01,,b2c_spb,,Marketing costs,b2c_spb,,pr,,,38000,38000,
inserted,2024-10-01,,b2c_spb,,Marketing costs,b2c_spb,,pr,,,36000,36000,
inserted,2024-11-01,,b2c_spb,,Marketing costs,b2c_spb,,pr,,,40500,40500,
inserted,2024-12-01,,b2c_spb,,Marketing costs,b2c_spb,,pr,,,40000,40000,
inserted,2025-01-01,,b2c_spb,,Marketing costs,b2c_spb,,pr,,,62000,62000,
inserted,2025-02-01,,b2c_spb,,Marketing costs,b2c_spb,,pr,,,60000,60000,
inserted,2025-03-01,,b2c_spb,,Marketing costs,b2c_spb,,pr,,,120750,120750,
inserted,2023-03-01,,b2b,,Net profit,b2b,,,,,80350,80350,
inserted,2023-04-01,,b2b,,Net profit,b2b,,,,,-2737,-2737,
inserted,2023-08-01,,b2b,,Net profit,b2b,,,,,34100,34100,
inserted,2023-09-01,,b2b,,Net profit,b2b,,,,,193100,193100,
inserted,2023-10-01,,b2b,,Net profit,b2b,,,,,202050,202050,
inserted,2023-11-01,,b2b,,Net profit,b2b,,,,,211000,211000,
inserted,2023-12-01,,b2b,,Net profit,b2b,,,,,172400,172400,
inserted,2024-01-01,,b2b,,Net profit,b2b,,,,,0,0,
inserted,2024-02-01,,b2b,,Net profit,b2b,,,,,0,0,
inserted,2024-03-01,,b2b,,Net profit,b2b,,,,,96000,96000,
inserted,2024-04-01,,b2b,,Net profit,b2b,,,,,10000,10000,
inserted,2024-05-01,,b2b,,Net profit,b2b,,,,,230552,230552,
inserted,2024-06-01,,b2b,,Net profit,b2b,,,,,0,0,
inserted,2024-07-01,,b2b,,Net profit,b2b,,,,,0,0,
inserted,2024-08-01,,b2b,,Net profit,b2b,,,,,0,0,
inserted,2024-09-01,,b2b,,Net profit,b2b,,,,,229254,229254,
inserted,2024-10-01,,b2b,,Net profit,b2b,,,,,0,0,
inserted,2024-11-01,,b2b,,Net profit,b2b,,,,,833865,833865,
inserted,2024-12-01,,b2b,,Net profit,b2b,,,,,4036500,4036500,
inserted,2025-01-01,,b2b,,Net profit,b2b,,,,,378350,378350,
inserted,2025-02-01,,b2b,,Net profit,b2b,,,,,0,0,
inserted,2025-03-01,,b2b,,Net profit,b2b,,,,,1597231,1597231,
inserted,2023-01-01,,b2c_moscow,,Net profit,b2c_moscow,,,,,736744,736744,
inserted,2023-02-01,,b2c_moscow,,Net profit,b2c_moscow,,,,,594688,594688,
inserted,2023-03-01,,b2c_moscow,,Net profit,b2c_moscow,,,,,1020644,1020644,
inserted,2023-04-01,,b2c_moscow,,Net profit,b2c_moscow,,,,,704321,704321,
inserted,2023-05-01,,b2c_moscow,,Net profit,b2c_moscow,,,,,379852,379852,
inserted,2023-06-01,,b2c_moscow,,Net profit,b2c_moscow,,,,,591126,591126,
inserted,2023-07-01,,b2c_moscow,,Net profit,b2c_moscow,,,,,909327,909327,
inserted,2023-08-01,,b2c_moscow,,Net profit,b2c_moscow,,,,,853310,853310,
inserted,2023-09-01,,b2c_moscow,,Net profit,b2c_moscow,,,,,832025,832025,
inserted,2023-10-01,,b2c_moscow,,Net profit,b2c_moscow,,,,,826369,826369,
inserted,2023-11-01,,b2c_moscow,,Net profit,b2c_moscow,,,,,1053144,1053144,
inserted,2023-12-01,,b2c_moscow,,Net profit,b2c_moscow,,,,,989872,989872,
