unit,metric_name,scope,status,value,reason
b2c_spb,Number of shows,show:До свадьбы доживёт,inserted,8,
b2c_spb,Number of shows,show:ВДОХ,inserted,3,
b2c_spb,Number of shows,show:22'07,inserted,4,
b2c_spb,Number of shows,show:Судный день,inserted,3,
b2c_spb,Number of shows cancelled,show:22'07,inserted,2,
b2c_spb,Number of shows cancelled,show:Ответ Гиппократа,inserted,8,
b2c_spb,Number of shows cancelled,show:До свадьбы доживёт,inserted,4,
b2c_spb,Number of shows cancelled,show:Судный день,inserted,1,
b2c_spb,Number of shows cancelled,show:ВДОХ,inserted,2,
b2c_spb,Number of shows cancelled,show:Загадка Амулета,inserted,2,
b2c_spb,Number of show visitors,show:Ответ Гиппократа,inserted,61,
b2c_spb,Number of show visitors,show:До свадьбы доживёт,inserted,39,
b2c_spb,Number of show visitors,show:ВДОХ,inserted,9,
b2c_spb,Number of show visitors,show:22'07,inserted,13,
b2c_spb,Number of show visitors,show:Судный день,inserted,32,
b2c_spb,Source share,,skipped,,direct_erp_source_share_not_available
b2c_spb,Quality - Internal,survey,skipped,,survey_endpoints_not_working
